episode,return,shaped_return,loss
691,-1007.406,5407.594,3515209.0
692,-976.057,5988.943,4138691.0
693,-831.12,6848.88,4987085.0
694,-589.126,5640.874,3173674.0
695,-839.816,5405.184,3747995.25
696,-493.071,6421.929,3732966.0
697,-699.494,4865.506,2905241.0
698,-649.836,5525.164,3185740.75
699,-461.573,6158.427,3504679.0
700,-455.501,5574.499,3214103.0
701,-600.25,6299.75,3795001.0
702,-923.093,6231.907,4081494.0
703,-676.397,5898.603,3344469.5
704,-1116.558,5678.442,3804191.75
705,-852.274,5392.726,3447565.0
706,-1016.712,5348.288,4263417.5
707,-718.966,5931.034,4406026.5
708,-997.827,5857.173,4240274.0
709,-800.829,5864.171,3887155.0
710,-1171.161,5463.839,3971546.5
711,-989.48,5495.52,3877536.75
712,-394.536,5915.464,3222186.0
713,-540.659,6124.341,3665482.25
714,-783.677,6521.323,4195632.5
715,-374.282,6005.718,3440105.25
716,-420.655,5809.345,3128761.25
717,-678.853,4786.147,2764909.25
718,-1098.771,5901.229,4169875.75
719,-658.017,5821.983,3771017.5
720,-732.938,5707.062,3254272.5
721,-1272.044,5332.956,3953717.75
722,-281.651,6288.349,3733412.75
723,-967.649,5377.351,3230003.75
724,-608.506,5391.494,3055048.0
725,-629.924,5615.076,3395188.5
726,-938.372,5861.628,4279345.0
727,-647.207,5212.793,3224904.25
728,-384.626,5965.374,3016999.5
729,-958.425,5916.575,4368922.0
730,-1272.015,6787.985,5257512.0
731,-659.23,5840.77,3570250.25
732,-910.002,4384.998,3362954.5
733,-601.509,5108.491,3072015.75
734,-864.879,6025.121,3816533.0
735,-984.574,5915.426,4522622.5
736,-487.37,5557.63,3178790.5
737,-751.976,5033.024,3037116.25
738,-862.471,5447.529,3758237.25
739,-609.564,6195.436,3973136.5
740,-905.83,6244.17,4403806.5
741,-627.142,5487.858,3228977.5
742,-314.941,5665.059,2868786.5
743,-1255.569,5554.431,4811065.5
744,-619.452,5775.548,2943823.0
745,-771.369,5408.631,3480343.25
746,-985.871,6239.129,4142806.0
747,-712.854,5707.146,3473341.25
748,-255.208,6714.792,3769080.25
749,-546.093,6318.907,4040749.75
750,-982.614,5542.386,3967392.0
751,-789.117,5610.883,3518447.5
752,-449.216,6085.784,3690136.25
753,-1060.322,6284.678,4211773.5
754,-353.912,5556.088,3047000.75
755,-1282.299,5372.701,4448219.5
756,-932.704,6512.296,5056785.5
757,-1293.57,6216.43,4764475.0
758,-554.643,5150.357,2957772.75
759,-497.04,6202.96,3911762.5
760,-123.44,5556.56,2855489.25
761,-1561.463,5363.537,4356865.5
762,-857.758,5672.242,3851594.25
763,-796.77,5543.23,3496782.25
764,-903.923,5921.077,4109982.25
765,-971.137,5613.863,3898348.25
766,-789.247,6030.753,4180403.0
767,-998.277,5716.723,4170666.5
